,poolId,blockHeight,networkDifficulty,status,confirmationProgress,effort,transactionConfirmationData,reward,infoLink,hash,miner,source,created
111,ErgoSigmanauts,1248838,426627.6047628859,confirmed,1,0.35129431070329437,186e549eb8340f12,27.0344,https://explorer.ergoplatform.com/en/blocks/177fd26d67b248b8fa2b0f734be71628114fa12249403ae6135b9a434a177e2b,177fd26d67b248b8fa2b0f734be71628114fa12249403ae6135b9a434a177e2b,9iJkieXSookLtaYr8JZ8A8nKuev9dzRMwxkGjuyQebnQgCj8zdC,ErgoSigmanauts,2024-04-22T22:07:16.945107Z
112,ErgoSigmanauts,1248716,402639.91319489584,confirmed,1,0.6859158861830024,1c96000783680ce2,27.008244,https://explorer.ergoplatform.com/en/blocks/5f999a0dbbaef1e2202acaa7a9c1dbea3cbcc7926dd9c89cadb99c22470fd14e,5f999a0dbbaef1e2202acaa7a9c1dbea3cbcc7926dd9c89cadb99c22470fd14e,9f5vwtxyRP87wmc8ezyKbL7ryaNhDrgWUVBEZpQKnw16SWceKR9,ErgoSigmanauts,2024-04-22T18:11:34.792754Z
113,ErgoSigmanauts,1248443,380709.27233461576,confirmed,1,1.0019866141801046,188b8a2690b77569,27.0074,https://explorer.ergoplatform.com/en/blocks/2c43ae9a107e279e6aaf50ddda74652235cddc42d7f7e6e36c9c28b5ed0930b8,2c43ae9a107e279e6aaf50ddda74652235cddc42d7f7e6e36c9c28b5ed0930b8,9f3FRr4XudxVs1V35At1X5yj7LmQmnWqG46LqFKVNRf2TuYsAik,ErgoSigmanauts,2024-04-22T09:12:21.916811Z
114,ErgoSigmanauts,1248031,396231.0665206425,confirmed,1,0.16120482746363493,1c1800034e77b166,27.00196004,https://explorer.ergoplatform.com/en/blocks/92e5d017e11243bae0295199fdab7b8b08ccb9363228eef883d5d7e4d9b498c8,92e5d017e11243bae0295199fdab7b8b08ccb9363228eef883d5d7e4d9b498c8,9h6bjuzth7XDNeBxwFjpYSfmUkfBiepE8MGJcvmsVkeCtGYYYAb,ErgoSigmanauts,2024-04-21T18:58:55.319102Z
115,ErgoSigmanauts,1247949,334193.9794832203,confirmed,1,0.09492737186055794,1bf4a728749d7de8,27.001,https://explorer.ergoplatform.com/en/blocks/9a9c4c8fbd571a877a7f197e40c4d33d265307b23634ad52496ceab09e5473dd,9a9c4c8fbd571a877a7f197e40c4d33d265307b23634ad52496ceab09e5473dd,9g4f585vPtgA5PKhSRcaPBhtfW3HYRw2qe3aemxxnD5Y1KiopyX,ErgoSigmanauts,2024-04-21T16:57:09.080339Z
116,ErgoSigmanauts,1247906,334193.9794832203,confirmed,1,0.6902865408932093,1a16000df5456083,27.0265,https://explorer.ergoplatform.com/en/blocks/2e086f5d1d55e2476586f0ae72caeb77d0093c2faef6c454f1596bb8d2a95c26,2e086f5d1d55e2476586f0ae72caeb77d0093c2faef6c454f1596bb8d2a95c26,9ehJZvPDgvCNNd2zTQHxnSpcCAtb1kHbEN1VAgeoRD5DPVApYkk,ErgoSigmanauts,2024-04-21T15:49:03.244731Z
117,ErgoSigmanauts,1247634,390680.0780866358,confirmed,1,3.039863262807032,1a1329402f2206ed,27.06935483,https://explorer.ergoplatform.com/en/blocks/c7b7ef3a8c7af63a7729de240de056beff246f9d99aebd54385615fc1eb30c9b,c7b7ef3a8c7af63a7729de240de056beff246f9d99aebd54385615fc1eb30c9b,9ehJZvPDgvCNNd2zTQHxnSpcCAtb1kHbEN1VAgeoRD5DPVApYkk,ErgoSigmanauts,2024-04-21T05:49:18.90661Z
118,ErgoSigmanauts,1246555,371421.34970319935,confirmed,1,0.5352746713780204,12fc6a2219199f2a,27.012,https://explorer.ergoplatform.com/en/blocks/40823fa0c172fc5f3a8ebcc79f8557f776d502abeceff00145c66c9794f0fd4c,40823fa0c172fc5f3a8ebcc79f8557f776d502abeceff00145c66c9794f0fd4c,9g4f585vPtgA5PKhSRcaPBhtfW3HYRw2qe3aemxxnD5Y1KiopyX,ErgoSigmanauts,2024-04-19T17:13:40.31358Z
119,ErgoSigmanauts,1246329,338457.8411183106,confirmed,1,0.03331322739946113,1642835a069e4fb9,27.0257,https://explorer.ergoplatform.com/en/blocks/3255824876c9afc17a051e4fec4f2fb9a502d91a31d60e5be893f15c38e87236,3255824876c9afc17a051e4fec4f2fb9a502d91a31d60e5be893f15c38e87236,9h6bjuzth7XDNeBxwFjpYSfmUkfBiepE8MGJcvmsVkeCtGYYYAb,ErgoSigmanauts,2024-04-19T10:06:26.827818Z
120,ErgoSigmanauts,1246316,338457.8411183106,confirmed,1,0.07223575279223989,146857274f45ac2c,27.18064004,https://explorer.ergoplatform.com/en/blocks/023d3db990a609673fb2143fdfd110f959928864ee5ba08eb9341c9dae31ea01,023d3db990a609673fb2143fdfd110f959928864ee5ba08eb9341c9dae31ea01,9fHLdYBz5fPdDfMkGMfAsuj6EfXCpmM4GkamT23xeT3hzdHbNJx,ErgoSigmanauts,2024-04-19T09:41:15.872673Z
121,ErgoSigmanauts,1246282,338457.8411183106,confirmed,1,2.0840158103518593,164237aca8296f1c,27.012601378,https://explorer.ergoplatform.com/en/blocks/b25a01e4b603f883cbe139725e8377ea798ef7bf5e5ffb3d232db5803c7e9d50,b25a01e4b603f883cbe139725e8377ea798ef7bf5e5ffb3d232db5803c7e9d50,9h6bjuzth7XDNeBxwFjpYSfmUkfBiepE8MGJcvmsVkeCtGYYYAb,ErgoSigmanauts,2024-04-19T08:45:52.541207Z
122,ErgoSigmanauts,1245573,345942.82227737474,confirmed,1,0.11677158070737306,12a8cc865d1eb6b1,27.00125328,https://explorer.ergoplatform.com/en/blocks/b3dc77df25368a64370eba7b7e0f2392e5a9c3fe4cd2978bc829911d3b888b3a,b3dc77df25368a64370eba7b7e0f2392e5a9c3fe4cd2978bc829911d3b888b3a,9gXo8m2VyHvQ3FGvCg1GNWfyM5uX27BEKNCXDjQ6GiFsMJw5Yto,ErgoSigmanauts,2024-04-18T09:31:37.163854Z
123,ErgoSigmanauts,1245528,323130.12743641844,confirmed,1,0.36134540739254745,126a0007f2a34c7c,27.0,https://explorer.ergoplatform.com/en/blocks/2d2fd8c12850c9f1a00c38aa79aba813554f7a383c4be6a7008848abc2f2071d,2d2fd8c12850c9f1a00c38aa79aba813554f7a383c4be6a7008848abc2f2071d,9ehJZvPDgvCNNd2zTQHxnSpcCAtb1kHbEN1VAgeoRD5DPVApYkk,ErgoSigmanauts,2024-04-18T08:01:31.156982Z
124,ErgoSigmanauts,1245375,343213.85477943526,confirmed,1,0.38460163270407993,126b001c1226e666,27.0041,https://explorer.ergoplatform.com/en/blocks/d0b39e75edf0099c62ce1fc97bef7dd51695659255ec7ff15d66183261be2c17,d0b39e75edf0099c62ce1fc97bef7dd51695659255ec7ff15d66183261be2c17,9ehJZvPDgvCNNd2zTQHxnSpcCAtb1kHbEN1VAgeoRD5DPVApYkk,ErgoSigmanauts,2024-04-18T03:11:44.51941Z
125,ErgoSigmanauts,1245219,385248.1842304338,confirmed,1,1.3613627543103468,123200132a4f0053,27.001,https://explorer.ergoplatform.com/en/blocks/32df796eeeeb916349df58e3263011fc13e2064202638d81f6e12d7233055a6d,32df796eeeeb916349df58e3263011fc13e2064202638d81f6e12d7233055a6d,9i8wsL9HYe4wRtuxXtnvki31uGJd6avKoQ79BXbz2sHWNZSKz8K,ErgoSigmanauts,2024-04-17T21:39:45.854185Z
126,ErgoSigmanauts,1244611,350337.67374695145,confirmed,1,0.30406044033061175,13309b8b1531ac3d,27.0044,https://explorer.ergoplatform.com/en/blocks/4ac405b82c909606840b4abb83acd42e79aa74ac9dfcfa1da9152af32d5316f0,4ac405b82c909606840b4abb83acd42e79aa74ac9dfcfa1da9152af32d5316f0,9gwk97nY8Uc6kLcSYs4ueWttY5EKyfsrbiyVQWFdUaWvd4Xhqys,ErgoSigmanauts,2024-04-17T01:03:11.646208Z
127,ErgoSigmanauts,1244487,347763.7847504471,confirmed,1,2.1091817753263937,126b0037bf192dd9,27.004,https://explorer.ergoplatform.com/en/blocks/7994b89a991f3a3589d54772c4e30437894c691aa0dfd6f3568687ef53b7b749,7994b89a991f3a3589d54772c4e30437894c691aa0dfd6f3568687ef53b7b749,9ehJZvPDgvCNNd2zTQHxnSpcCAtb1kHbEN1VAgeoRD5DPVApYkk,ErgoSigmanauts,2024-04-16T20:53:07.047296Z
128,ErgoSigmanauts,1243556,346496.7581554752,confirmed,1,0.38407410753612603,121c61dad76dde64,27.0022,https://explorer.ergoplatform.com/en/blocks/d51a06c21ece88a1935e2eca6a3d1ba1e82507dc7cb1147174eb0b8701d62055,d51a06c21ece88a1935e2eca6a3d1ba1e82507dc7cb1147174eb0b8701d62055,9g4f585vPtgA5PKhSRcaPBhtfW3HYRw2qe3aemxxnD5Y1KiopyX,ErgoSigmanauts,2024-04-15T13:26:36.753705Z
129,ErgoSigmanauts,1243309,317174.2056285055,confirmed,1,0.4703619102586416,1232000391a2d9da,27.009,https://explorer.ergoplatform.com/en/blocks/d37d915b800e4b8fce3eb97ace72d1b8ecf1c35eecbf5241c218c7503031eadc,d37d915b800e4b8fce3eb97ace72d1b8ecf1c35eecbf5241c218c7503031eadc,9i8wsL9HYe4wRtuxXtnvki31uGJd6avKoQ79BXbz2sHWNZSKz8K,ErgoSigmanauts,2024-04-15T05:58:59.255881Z
130,ErgoSigmanauts,1243018,353518.6120012977,confirmed,1,0.5172375294526278,124d61659aa64c7a,27.0765,https://explorer.ergoplatform.com/en/blocks/a8134a002699294a2cb40e3f4eb3603ede1bdcae3cd0def8b5294ce147cfdd4b,a8134a002699294a2cb40e3f4eb3603ede1bdcae3cd0def8b5294ce147cfdd4b,9iJkieXSookLtaYr8JZ8A8nKuev9dzRMwxkGjuyQebnQgCj8zdC,ErgoSigmanauts,2024-04-14T19:46:29.720815Z
131,ErgoSigmanauts,1242682,379295.32861204166,confirmed,1,1.3945610620260216,12200009ea038849,27.0175,https://explorer.ergoplatform.com/en/blocks/2c36f7618aef25e20373b4832dbbdc6f95784909a40218cd9011c22a04b6a703,2c36f7618aef25e20373b4832dbbdc6f95784909a40218cd9011c22a04b6a703,9i8wsL9HYe4wRtuxXtnvki31uGJd6avKoQ79BXbz2sHWNZSKz8K,ErgoSigmanauts,2024-04-14T07:53:57.732887Z
132,ErgoSigmanauts,1241796,370202.4053875056,confirmed,1,1.9805144476820198,10c71b4fad01f31c,27.05202483,https://explorer.ergoplatform.com/en/blocks/3951d2d140cca3c5138162008137ea4c703f1cdc4a16c256c5584751518dc07a,3951d2d140cca3c5138162008137ea4c703f1cdc4a16c256c5584751518dc07a,9exkqG2KBpdeHKby84pSehSZt9sKQitAqjuguHXdd25eEJWFksx,ErgoSigmanauts,2024-04-13T01:40:15.984753Z
133,ErgoSigmanauts,1240237,406987.8797220254,confirmed,1,0.15610391864943252,100fe6c78281bfae,27.130969,https://explorer.ergoplatform.com/en/blocks/c0e3620bcbce50d12b892ec9c42106e803157d14bcfc965f2dee2361b0bf928d,c0e3620bcbce50d12b892ec9c42106e803157d14bcfc965f2dee2361b0bf928d,9i3P4Ah9jp7nnSNMg6gxjXXHEWjkkBbPJR5RLRkMwEt3DZZGLDL,ErgoSigmanauts,2024-04-10T21:52:48.180238Z
134,ErgoSigmanauts,1240101,411836.8536191246,confirmed,1,0.17779304600872076,10da0014d0866a1a,27.0062,https://explorer.ergoplatform.com/en/blocks/106552ecd414d016d00bb6aac33233b40e0de0e96752ad16bb4aaa45c673d1b3,106552ecd414d016d00bb6aac33233b40e0de0e96752ad16bb4aaa45c673d1b3,9f7851wUuymT3jiaaFQ5Uv3QUmCHsahCR43syFbc1nDRSHMxEbM,ErgoSigmanauts,2024-04-10T16:45:58.023229Z
135,ErgoSigmanauts,1239922,414752.6846110756,confirmed,1,0.3791696538794324,10111463352887a3,27.0011,https://explorer.ergoplatform.com/en/blocks/db56d46b7963b5dd508c2bdb1507303c8263e6ccad1b47891a8e73da404a4985,db56d46b7963b5dd508c2bdb1507303c8263e6ccad1b47891a8e73da404a4985,9i3P4Ah9jp7nnSNMg6gxjXXHEWjkkBbPJR5RLRkMwEt3DZZGLDL,ErgoSigmanauts,2024-04-10T11:38:14.413427Z
